data/experiments/Michi-Sun-May-11-11-07-51-CEST-2014,{minTopClassScore=0.70, tfTransform=true, maxLowRatingscore=0.4, stopwordsFile=data/english-stop-words-small.txt, outputWordCounts=true, useStoplist=true, lowerCaseTokens=true, annotators=tokenize, ssplit, pos, lemma, posToKeep=NN JJ RB, minSentimentTopScore=-0.189, minTopRatingscore=0.9, maxLoad=100000, includePOS=false, wordsToKeep=5000, useLemma=true, minTermFreq=10, idfTransform=true},20634,12780,6404,10181,0.6682933658673174,0.6696089566769431,0.7631481618462904,-0.14065073584511006,0.7133251516775275
data/experiments/Michi-Sun-May-11-11-28-09-CEST-2014,{minTopClassScore=0.70, tfTransform=true, maxLowRatingscore=0.4, stopwordsFile=data/english-stop-words-small.txt, outputWordCounts=true, useStoplist=true, lowerCaseTokens=true, annotators=tokenize, ssplit, pos, lemma, posToKeep=, minSentimentTopScore=-0.189, minTopRatingscore=0.9, maxLoad=100000, includePOS=false, wordsToKeep=5000, useLemma=true, minTermFreq=10, idfTransform=true},20816,12795,6222,10166,0.6722334446688933,0.6718739913498161,0.7698794289518456,-0.14362862413051936,0.7175456739055497
data/experiments/Michi-Sun-May-11-11-34-37-CEST-2014,{minTopClassScore=0.70, tfTransform=true, maxLowRatingscore=0.4, stopwordsFile=data/english-stop-words-small.txt, outputWordCounts=true, useStoplist=true, lowerCaseTokens=true, annotators=tokenize, ssplit, pos, lemma, posToKeep=, minSentimentTopScore=-0.13, minTopRatingscore=0.9, maxLoad=1000000, includePOS=false, wordsToKeep=5000, useLemma=true, minTermFreq=10, idfTransform=true},169977,141303,100768,87951,0.6225612451224902,0.65900949102075,0.6278121479621046,-0.15094111372409907,0.6430326496719144
data/experiments/Michi-Sun-May-11-13-20-13-CEST-2014,{minTopClassScore=0.70, tfTransform=true, maxLowRatingscore=0.4, stopwordsFile=data/english-stop-words-small.txt, outputWordCounts=true, useStoplist=true, lowerCaseTokens=true, annotators=tokenize, ssplit, pos, lemma, posToKeep=, minSentimentTopScore=-0.5, minTopRatingscore=1.0, maxLoad=1000000, includePOS=false, wordsToKeep=5000, useLemma=true, minTermFreq=10, idfTransform=true},90530,176620,180215,52634,0.5343010686021372,0.6323517085300774,0.3343736726440008,-0.775683057729906,0.4374391472521738
data/experiments/Michi-Sun-May-11-14-46-03-CEST-2014,{minTopClassScore=0.70, tfTransform=true, maxLowRatingscore=0.4, stopwordsFile=data/english-stop-words-small.txt, outputWordCounts=true, useStoplist=true, lowerCaseTokens=true, annotators=tokenize, ssplit, pos, lemma, posToKeep=, minSentimentTopScore=-0.77568, minTopRatingscore=1.0, maxLoad=1000000, includePOS=false, wordsToKeep=5000, useLemma=true, minTermFreq=10, idfTransform=true},151879,129386,118866,99868,0.5625311250622501,0.6033001386312449,0.5609669615320689,-0.775683057729906,0.5813639251892853
data/experiments/Michi-Sun-May-11-18-28-14-CEST-2014,{minTopClassScore=0.70, tfTransform=true, maxLowRatingscore=0.4, stopwordsFile=data/english-stop-words-small.txt, outputWordCounts=true, useStoplist=true, lowerCaseTokens=true, annotators=tokenize, ssplit, pos, lemma, posToKeep=, minSentimentTopScore=-0.77568, minTopRatingscore=0.9, maxLoad=1000000, includePOS=false, wordsToKeep=5000, useLemma=true, minTermFreq=10, idfTransform=true},267867,8564,2878,220690,0.5528631057262114,0.5482819814269368,0.9893700714694639,-0.15094111372409907,0.7055611601181084
data/experiments/Michi-Sun-May-11-21-22-24-CEST-2014,{minTopClassScore=0.70, tfTransform=true, maxLowRatingscore=0.4, stopwordsFile=data/english-stop-words-small.txt, outputWordCounts=true, useStoplist=true, lowerCaseTokens=true, annotators=tokenize, ssplit, pos, lemma, posToKeep=, minSentimentTopScore=-0.15094, minTopRatingscore=0.9, maxLoad=1000000, includePOS=false, wordsToKeep=5000, useLemma=true, minTermFreq=10, idfTransform=true},180336,131926,90409,97328,0.6245252490504981,0.6494756252160885,0.6660732423498126,-0.15094111372409907,0.6576697318971789
data/experiments/Michi-Mon-May-12-18-23-50-CEST-2014,{minTopClassScore=0.70, tfTransform=true, maxLowRatingscore=0.4, stopwordsFile=data/english-stop-words-small.txt, outputWordCounts=true, useStoplist=true, lowerCaseTokens=true, annotators=tokenize, ssplit, pos, lemma, posToKeep=, minSentimentTopScore=-0.15094111372, minTopRatingscore=0.9, maxLoad=1000000, includePOS=false, wordsToKeep=5000, useLemma=true, minTermFreq=50, idfTransform=true},170692,133051,100053,96203,0.6074872149744299,0.6395473875494108,0.6304530092891836,-0.1631696943240855,0.634967636336582
data/experiments/Michi-Mon-May-12-23-25-01-CEST-2014,{minTopClassScore=0.70, tfTransform=true, maxLowRatingscore=0.4, stopwordsFile=data/english-stop-words-small.txt, outputWordCounts=true, useStoplist=true, lowerCaseTokens=true, annotators=tokenize, ssplit, pos, lemma, posToKeep=NN JJ RB, minSentimentTopScore=-0.15094111372, minTopRatingscore=0.9, maxLoad=1000000, includePOS=false, wordsToKeep=5000, useLemma=true, minTermFreq=50, idfTransform=true},172073,131256,98672,97998,0.6066592133184266,0.6371398632211529,0.6355537498384088,-0.15585849988711736,0.6363458181710601
data/experiments/Michi-Tue-May-13-22-52-21-CEST-2014,{minTopClassScore=0.70, tfTransform=true, maxLowRatingscore=0.4, stopwordsFile=data/english-stop-words-small.txt, outputWordCounts=true, useStoplist=true, lowerCaseTokens=true, annotators=tokenize, ssplit, pos, lemma, posToKeep=, minSentimentTopScore=-0.15094111372, minTopRatingscore=0.9, maxLoad=500000, includePOS=false, wordsToKeep=5000, useLemma=true, minTermFreq=30, idfTransform=true},126725,31301,15629,76344,0.6321065284261137,0.6240489685771832,0.8902103207496804,-8.206758532547008E-4,0.7337380545012926
data/experiments/Michi-Tue-May-13-23-43-40-CEST-2014,{minTopClassScore=0.70, tfTransform=true, maxLowRatingscore=0.4, stopwordsFile=data/english-stop-words-small.txt, outputWordCounts=true, useStoplist=true, lowerCaseTokens=true, annotators=tokenize, ssplit, pos, lemma, posToKeep=, minSentimentTopScore=-0.15094111372, minTopRatingscore=0.9, maxLoad=500000, includePOS=false, wordsToKeep=5000, useLemma=true, minTermFreq=20, idfTransform=true},126932,32453,15422,75192,0.6375425501702007,0.6279907383586313,0.8916644421653062,8.369367308718206E-4,0.7369527226702431
data/experiments/Michi-Wed-May-14-08-42-03-CEST-2014,{minTopClassScore=0.70, tfTransform=true, maxLowRatingscore=0.4, stopwordsFile=data/english-stop-words-small.txt, outputWordCounts=true, useStoplist=true, lowerCaseTokens=true, annotators=tokenize, ssplit, pos, lemma, posToKeep=, minSentimentTopScore=0.0, minTopRatingscore=0.9, maxLoad=500000, includePOS=false, wordsToKeep=5000, useLemma=true, minTermFreq=20, idfTransform=true},100029,61700,42325,45945,0.6469185876743507,0.685252168194336,0.7026778313219157,8.369367308718206E-4,0.6938556088898754
data/experiments/Michi-Wed-May-14-19-44-31-CEST-2014;{minSentimentTopScore=-0.131329, useStoplist=true, minTopClassScore=0.70, useLemma=true, wordsToKeep=5000, maxLowRatingscore=0.4, butMultiplier=0.0, annotators=tokenize, ssplit, pos, lemma, minTopRatingscore=0.9, stopwordsFile=data/english-stop-words-small.txt, tfTransform=true, posToKeep=NN JJ RB, idfTransform=true, lowerCaseTokens=true, includePOS=false, minTermFreq=20, outputWordCounts=true, maxLoad=100000};17405;15266;9633;7695;0.6534330686613732;0.6934262948207172;0.6437236481988313;-0.14518090775995593;0.6676512332655645;2.0E-4
data/experiments/Michi-Wed-May-14-19-50-39-CEST-2014;{minSentimentTopScore=-0.131329, useStoplist=true, minTopClassScore=0.70, useLemma=true, wordsToKeep=5000, maxLowRatingscore=0.4, butMultiplier=0.0, annotators=tokenize, ssplit, pos, lemma, minTopRatingscore=0.9, stopwordsFile=data/english-stop-words-small.txt, tfTransform=true, posToKeep=NN JJ RB, idfTransform=true, lowerCaseTokens=true, includePOS=false, minTermFreq=20, outputWordCounts=true, maxLoad=200000};59904;5354;1592;33149;0.6525865258652587;0.6437621570502832;0.9741121373747886;0.2144287602714892;0.7752104510543582;2.2E-4
data/experiments/Michi-Wed-May-14-20-12-44-CEST-2014;{minSentimentTopScore=-0.131329, useStoplist=true, minTopClassScore=0.70, useLemma=true, wordsToKeep=5000, maxLowRatingscore=0.4, butMultiplier=0.0, annotators=tokenize, ssplit, pos, lemma, minTopRatingscore=0.9, stopwordsFile=data/english-stop-words-small.txt, tfTransform=true, posToKeep=, idfTransform=true, lowerCaseTokens=true, includePOS=false, minTermFreq=20, outputWordCounts=true, maxLoad=200000};60072;4665;1424;33838;0.6473764737647376;0.6396762858055585;0.9768440223754391;0.1454074622288208;0.7730975638006254;0.48556
data/experiments/Michi-Wed-May-14-20-37-57-CEST-2014;{minSentimentTopScore=0.0, useStoplist=true, minTopClassScore=0.70, useLemma=true, wordsToKeep=5000, maxLowRatingscore=0.4, butMultiplier=0.0, annotators=tokenize, ssplit, pos, lemma, minTopRatingscore=0.9, stopwordsFile=data/english-stop-words-small.txt, tfTransform=true, posToKeep=NN JJ RB, idfTransform=true, lowerCaseTokens=true, includePOS=false, minTermFreq=20, outputWordCounts=true, maxLoad=200000};57237;10349;4259;28154;0.6758667586675867;0.6702931222259957;0.9307434629894628;0.2144287602714892;0.779333773581052;2.2E-4
data/experiments/Michi-Wed-May-14-20-46-00-CEST-2014;{minSentimentTopScore=0.0, useStoplist=true, minTopClassScore=0.70, useLemma=true, wordsToKeep=5000, maxLowRatingscore=0.4, butMultiplier=-1.0, annotators=tokenize, ssplit, pos, lemma, minTopRatingscore=0.9, stopwordsFile=data/english-stop-words-small.txt, tfTransform=true, posToKeep=NN JJ RB, idfTransform=true, lowerCaseTokens=true, includePOS=false, minTermFreq=20, outputWordCounts=true, maxLoad=200000};57230;10349;4266;28154;0.6757967579675797;0.6702660920078704;0.9306296344477689;0.2144115259779035;0.7792755991285404;2.2E-4
